domain,id,original_length,encoded_bytes,decoded_match,unsupported_char_count,verdict
MAIN_GAME,0x603A,176,136,YES,0,PASS
MAIN_GAME,0x603B,24,24,YES,0,PASS
MAIN_GAME,0x603C,46,46,YES,0,PASS
MAIN_GAME,0x603D,32,25,YES,0,PASS
MAIN_GAME,0x603E,50,50,YES,0,PASS
MAIN_GAME,0x603F,345,323,YES,0,PASS
MAIN_GAME,0x6040,389,334,YES,0,PASS
MAIN_GAME,0x6041,51,51,YES,0,PASS
MAIN_GAME,0x6042,145,134,YES,0,PASS
MAIN_GAME,0x6043,72,72,YES,0,PASS
MAIN_GAME,0x6044,192,170,YES,0,PASS
MAIN_GAME,0x6045,62,62,YES,0,PASS
MAIN_GAME,0x6046,85,74,YES,0,PASS
MAIN_GAME,0x6047,34,34,YES,0,PASS
MAIN_GAME,0x6048,101,101,YES,0,PASS
MAIN_GAME,0x6049,43,43,YES,0,PASS
MAIN_GAME,0x604A,45,45,YES,0,PASS
MAIN_GAME,0x604B,76,76,YES,0,PASS
MAIN_GAME,0x604C,49,49,YES,0,PASS
MAIN_GAME,0x604D,62,62,YES,0,PASS
MAIN_GAME,0x604E,26,26,YES,0,PASS
MAIN_GAME,0x604F,26,26,YES,0,PASS
MAIN_GAME,0x6050,49,49,YES,0,PASS
MAIN_GAME,0x6051,33,33,YES,0,PASS
MAIN_GAME,0x6052,65,65,YES,0,PASS
MAIN_GAME,0x6053,39,39,YES,0,PASS
MAIN_GAME,0x6054,34,34,YES,0,PASS
MAIN_GAME,0x6055,29,29,YES,0,PASS
MAIN_GAME,0x6056,19,19,YES,0,PASS
MAIN_GAME,0x6057,14,14,YES,0,PASS
MAIN_GAME,0x6058,27,27,YES,0,PASS
MAIN_GAME,0x6059,39,39,YES,0,PASS
MAIN_GAME,0x605A,61,61,YES,0,PASS
MAIN_GAME,0x605B,367,334,YES,0,PASS
MAIN_GAME,0x605C,311,289,YES,0,PASS
MAIN_GAME,0x605D,265,243,YES,0,PASS
MAIN_GAME,0x605E,472,439,YES,0,PASS
MAIN_GAME,0x605F,136,136,YES,0,PASS
MAIN_GAME,0x6060,81,81,YES,0,PASS
MAIN_GAME,0x6061,77,77,YES,0,PASS
MAIN_GAME,0x6062,146,146,YES,0,PASS
MAIN_GAME,0x6063,81,81,YES,0,PASS
MAIN_GAME,0x6064,116,116,YES,0,PASS
MAIN_GAME,0x6065,150,139,YES,0,PASS
MAIN_GAME,0x6066,28,28,YES,0,PASS
MAIN_GAME,0x6067,81,81,YES,0,PASS
MAIN_GAME,0x6068,63,63,YES,0,PASS
MAIN_GAME,0x6069,95,95,YES,0,PASS
MAIN_GAME,0x606A,252,230,YES,0,PASS
MAIN_GAME,0x606B,97,97,YES,0,PASS
MAIN_GAME,0x606C,228,206,YES,0,PASS
MAIN_GAME,0x606D,97,86,YES,0,PASS
MAIN_GAME,0x606E,167,156,YES,0,PASS
MAIN_GAME,0x606F,45,45,YES,0,PASS
MAIN_GAME,0x6070,90,90,YES,0,PASS
MAIN_GAME,0x6071,112,112,YES,0,PASS
MAIN_GAME,0x6072,108,108,YES,0,PASS
MAIN_GAME,0x6073,4,4,YES,0,PASS
MAIN_GAME,0x6074,189,167,YES,0,PASS
MAIN_GAME,0x6075,69,69,YES,0,PASS
MAIN_GAME,0x6076,141,130,YES,0,PASS
MAIN_GAME,0x6077,279,246,YES,0,PASS
MAIN_GAME,0x6078,179,157,YES,0,PASS
MAIN_GAME,0x6079,359,312,YES,0,PASS
