unicode,character,frequency,percentage,supported_now,future_slot,status
U+0029,),74,0.0176%,YES,0x29,STANDARD_ASCII_FONT
U+0038,8,61,0.0145%,YES,0x38,STANDARD_ASCII_FONT
U+0037,7,46,0.0109%,YES,0x37,STANDARD_ASCII_FONT
U+0039,9,42,0.0100%,YES,0x39,STANDARD_ASCII_FONT
U+005C,\,31,0.0074%,YES,0x5C,STANDARD_ASCII_FONT
U+0024,$,23,0.0055%,YES,0x24,STANDARD_ASCII_FONT
U+007C,|,20,0.0047%,YES,0x7C,STANDARD_ASCII_FONT
U+0027,',19,0.0045%,YES,0x27,STANDARD_ASCII_FONT
U+0040,@,17,0.0040%,YES,0x40,STANDARD_ASCII_FONT
U+00DA,Ú,8,0.0019%,YES,0x8C,NATIVE_OR_REMAPPED_SLOT
U+00CD,Í,7,0.0017%,YES,0x89,NATIVE_OR_REMAPPED_SLOT
U+0025,%,4,0.0009%,YES,0x25,STANDARD_ASCII_FONT
U+00C9,É,4,0.0009%,YES,0x86,NATIVE_OR_REMAPPED_SLOT
U+003B,;,4,0.0009%,YES,0x3B,STANDARD_ASCII_FONT
U+0058,X,3,0.0007%,YES,0x58,STANDARD_ASCII_FONT
U+00D3,Ó,3,0.0007%,YES,0x8A,NATIVE_OR_REMAPPED_SLOT
U+002F,/,3,0.0007%,YES,0x2F,STANDARD_ASCII_FONT
U+0026,&,2,0.0005%,YES,0x26,STANDARD_ASCII_FONT
U+00FC,ü,2,0.0005%,YES,0x9E,NATIVE_OR_REMAPPED_SLOT
